category,question,optionA,optionB,optionC,optionD,correct,funFact
DESIGNERS,Quem projetou Terra Mystica?,Jens Drögemüller e Helge Ostertag,Vital Lacerda,Alexander Pfister,,A,O equilíbrio entre 14 facções assimétricas de Terra Mystica influenciou muitos Euros pesados que vieram depois.
DESIGNERS,Quem é o designer de Scythe?,Jamey Stegmaier,Isaac Childres,Cole Wehrle,,A,"Jamey Stegmaier construiu Scythe sobre a arte alternativa de Jakub Rozalski, misturando controle de área e construção de motor."
DESIGNERS,"Quem projetou Gloomhaven, por anos o jogo mais bem avaliado no BoardGameGeek?",Isaac Childres,Jamey Stegmaier,Eric Lang,,A,"Gloomhaven, de Isaac Childres, começou no Kickstarter e revolucionou os jogos de campanha com seu combate baseado em cartas."
DESIGNERS,Quem criou o jogo cooperativo Spirit Island?,R. Eric Reuss,Matt Leacock,Rob Daviau,,A,"Em Spirit Island, de R. Eric Reuss, os jogadores são espíritos da natureza que expulsam colonizadores — uma inversão temática elogiada."
DESIGNERS,"Quem projetou Root, da editora Leder Games?",Cole Wehrle,Vlaada Chvátil,Bruno Cathala,,A,"Cole Wehrle deu a cada facção de Root regras totalmente diferentes, com a arte fofa e enganosa de Kyle Ferrin."
DESIGNERS,Quem é o autor da série Brass (Birmingham e Lancashire)?,Martin Wallace,Mac Gerdts,Stefan Feld,,A,Martin Wallace é referência em jogos econômicos; Brass: Birmingham é frequentemente apontado como um dos melhores Euros já feitos.
DESIGNERS,Quem projetou Concordia?,Mac Gerdts,Uwe Rosenberg,Alexander Pfister,,A,"Mac Gerdts é famoso pelo mecanismo de rondel, e em Concordia substituiu a sorte por um motor de cartas elegante e determinístico."
DESIGNERS,Quem criou o party game Codenames?,Vlaada Chvátil,Jean-Louis Roubira,Antoine Bauza,,A,"Codenames, de Vlaada Chvátil, venceu o Spiel des Jahres de 2016 com seu desafio de dar pistas de uma só palavra."
DESIGNERS,"Quem projetou Dixit, jogo de associações com belíssimas ilustrações?",Jean-Louis Roubira,Marc André,Thomas Sing,,A,"Dixit, de Jean-Louis Roubira, venceu o Spiel des Jahres de 2010 e mostrou o poder da interpretação subjetiva de imagens."
DESIGNERS,Quem é o autor de Kingdomino?,Bruno Cathala,Klaus Teuber,Reiner Knizia,,A,"Kingdomino, de Bruno Cathala, venceu o Spiel des Jahres de 2017 provando que um jogo simples pode ser premiado e profundo."
DESIGNERS,Quem projetou Splendor?,Marc André,Antoine Bauza,Phil Walker-Harding,,A,"Splendor, de Marc André, transformou a coleta de fichas e o motor de gemas em um dos jogos de entrada mais populares do mundo."
DESIGNERS,Quem criou Magic: The Gathering e King of Tokyo?,Richard Garfield,Donald X. Vaccarino,Eric Lang,,A,Richard Garfield inventou o jogo de cartas colecionáveis com Magic (1993) e também assina o divertido King of Tokyo.
DESIGNERS,Quem projetou Terraforming Mars?,Jacob Fryxelius,Jamey Stegmaier,Vital Lacerda,,A,"Jacob Fryxelius criou Terraforming Mars, em que corporações competem para tornar o planeta vermelho habitável."
DESIGNERS,Quem é o autor de Great Western Trail?,Alexander Pfister,Stefan Feld,Vital Lacerda,,A,Alexander Pfister combinou construção de baralho e rotas de gado de forma inovadora em Great Western Trail.
DESIGNERS,"Quem projetou The Crew, jogo cooperativo de vazas?",Thomas Sing,Wolfgang Warsch,Reiner Knizia,,A,"The Crew, de Thomas Sing, levou o Kennerspiel des Jahres de 2020 ao transformar o tradicional jogo de vazas em uma missão cooperativa."
DESIGNERS,"Quem assina Ark Nova, um dos Euros pesados mais populares dos anos 2020?",Mathias Wigge,Uwe Rosenberg,Elizabeth Hargrave,,A,"Em Ark Nova, de Mathias Wigge, os jogadores planejam zoológicos modernos focados em conservação de espécies."
DESIGNERS,"Quem projetou The Quacks of Quedlinburg, sobre charlatães e seus caldeirões?",Wolfgang Warsch,Bruno Cathala,Antoine Bauza,,A,"Wolfgang Warsch popularizou a construção de saquinho em Quacks of Quedlinburg, que venceu o Kennerspiel des Jahres de 2018."
DESIGNERS,"Quem é o designer de Coup, presente no catálogo da Grok?",Rikki Tahta,Cole Wehrle,Daniel Solis,,A,"Rikki Tahta criou Coup, um jogo de blefe rápido em que mentir sobre seus personagens é a chave para sobreviver."
DESIGNERS,A dupla Wolfgang Kramer e Michael Kiesling assina qual destes jogos?,The Palaces of Carrara,Wingspan,Root,,A,"Kramer e Kiesling, dupla premiada com vários Spiel des Jahres, assinam The Palaces of Carrara, presente no catálogo da Grok."
DESIGNERS,"Quem projetou Everdell, jogo de construção de tableau com criaturas da floresta?",James A. Wilson,Isaac Childres,Jamey Stegmaier,,A,"Everdell, de James A. Wilson, é famoso por sua árvore tridimensional e pela ambientação encantadora de animais."
PRÊMIOS,De qual país é o prêmio Spiel des Jahres?,Alemanha,Estados Unidos,França,,A,O Spiel des Jahres é o prêmio alemão mais influente do hobby; seu selo na caixa costuma multiplicar as vendas de um jogo.
PRÊMIOS,O que significa 'Spiel des Jahres'?,Jogo do Ano,Jogo do Século,Melhor Estratégia,,A,"Spiel des Jahres significa 'Jogo do Ano' em alemão, e seu símbolo é um meeple vermelho (o Pöppel)."
PRÊMIOS,Qual jogo venceu o Spiel des Jahres de 2022?,Cascadia,Dorfromantik,Sky Team,,A,"Cascadia, de Randy Flynn, levou o Spiel des Jahres de 2022 com seu encaixe de hexágonos e fauna do noroeste americano."
PRÊMIOS,Qual jogo venceu o Spiel des Jahres de 2023?,Dorfromantik,Cascadia,Azul,,A,"Dorfromantik, jogo cooperativo e relaxante de paisagens, venceu o Spiel des Jahres de 2023."
PRÊMIOS,O Kennerspiel des Jahres premia jogos voltados a qual público?,Jogadores experientes,Crianças pequenas,Apenas dois jogadores,,A,"O Kennerspiel des Jahres é o ramo do prêmio dedicado a jogos mais complexos, para conhecedores do hobby."
PRÊMIOS,Qual destes jogos venceu o Spiel des Jahres de 2018?,Azul,Codenames,Kingdomino,,A,"Azul venceu o Spiel des Jahres de 2018, consolidando o gênero abstrato bonito e acessível."
PRÊMIOS,Qual site é a maior referência mundial de dados sobre jogos de tabuleiro?,BoardGameGeek,MetaCritic,IMDb,,A,"O BoardGameGeek (BGG) reúne avaliações, rankings e fóruns, sendo o ponto de encontro da comunidade global do hobby."
PRÊMIOS,Qual feira alemã é a maior do mundo dedicada a jogos de tabuleiro?,"Spiel, em Essen",Gen Con,PAX Unplugged,,A,"A feira Spiel, em Essen, na Alemanha, reúne centenas de milhares de visitantes e é onde muitos lançamentos estreiam."
MECÂNICAS DE JOGO,"Qual jogo é creditado por estabelecer a mecânica de colocação de trabalhadores, em 2005?",Stone Age,Caylus,Agricola,,B,"Caylus, de William Attia, popularizou a colocação de trabalhadores, influenciando inúmeros Euros que vieram depois."
MECÂNICAS DE JOGO,"Qual jogo introduziu o mecanismo de rondel, em 2005?",Antike,Imperial,Through the Ages,,A,"Antike, de Mac Gerdts, trouxe o rondel: uma roda de ações que dá ritmo e planejamento únicos ao jogo."
MECÂNICAS DE JOGO,Qual jogo deu origem à mecânica de construção de saquinho (bag-building)?,Orleans,Altiplano,The Quacks of Quedlinburg,,A,Orleans (2014) combinou a ideia de construção de baralho com o sorteio físico de fichas dentro de um saquinho.
MECÂNICAS DE JOGO,"Qual formato faz o jogo mudar permanentemente a cada partida, introduzido por Risk Legacy?",Legacy,Roll-and-write,Deck-building,,A,"Risk Legacy (2011), de Rob Daviau, criou o gênero Legacy, em que adesivos, rasgos e cartas mudam o jogo para sempre."
MECÂNICAS DE JOGO,Qual mecânica é a base de jogos como 7 Wonders e Sushi Go?,Draft de cartas,Leilão fechado,Movimento por dados,,A,"No draft, você escolhe uma carta da mão e passa o resto adiante — equilibrando o jogo e acelerando os turnos."
MECÂNICAS DE JOGO,Flip 7 e The Quacks of Quedlinburg são exemplos de qual mecânica?,Empurre a sorte (push-your-luck),Colocação de trabalhadores,Controle de área,,A,"No 'empurre a sorte', você decide até onde arriscar antes de estourar — a tensão de querer só mais uma carta."
MECÂNICAS DE JOGO,Qual mecânica é típica de jogos como Carcassonne e Kingdomino?,Colocação de peças (tile-laying),Construção de baralho,Dedução social,,A,"Na colocação de peças, o tabuleiro é construído pelos próprios jogadores conforme as peças vão sendo encaixadas."
MECÂNICAS DE JOGO,Wingspan e Terraforming Mars são exemplos claros de qual mecânica?,Construção de motor (engine-building),Trick-taking,Roll-and-write,,A,"Na construção de motor, cada peça que você adiciona faz as próximas jogadas renderem cada vez mais — um efeito bola de neve."
MECÂNICAS DE JOGO,Qual jogo levou a mecânica cooperativa de vazas (trick-taking) ao sucesso?,The Crew,Hanabi,Codenames,,A,"The Crew uniu o tradicional jogo de vazas a missões cooperativas, em que ninguém pode falar abertamente sobre as cartas."
MECÂNICAS DE JOGO,"Qual jogo popularizou a colocação de trabalhadores combinada com dados, em 2010?",Alien Frontiers,Kingsburg,Troyes,,A,"Alien Frontiers misturou colocação de trabalhadores com dados, criando um subgênero próprio dentro do estilo."
MECÂNICAS DE JOGO,Qual jogo popularizou a seleção simultânea de ações para reduzir o tempo de espera?,Race for the Galaxy,7 Wonders,Innovation,,A,"Race for the Galaxy faz todos agirem ao mesmo tempo, eliminando a espera entre turnos em jogos de cartas."
MECÂNICAS DE JOGO,Qual jogo introduziu a inovadora mecânica de criação de cartas (card-crafting)?,Mystic Vale,Innovation,Race for the Galaxy,,A,"Mystic Vale deixa os jogadores montarem cartas transparentes por camadas, evoluindo o próprio baralho durante a partida."
CLÁSSICOS MODERNOS,"Qual jogo de Matt Leacock introduziu a cooperação contra uma pandemia, em 2008?",Flash Point,Forbidden Desert,Pandemic,,C,"Pandemic revolucionou os cooperativos e gerou várias expansões, além da aclamada série Legacy."
CLÁSSICOS MODERNOS,"Qual designer é considerado o pai do primeiro grande Eurogame, 'Die Macher' (1986)?",Wolfgang Kramer,Karl-Heinz Schmiel,Klaus Teuber,,B,"'Die Macher', de Karl-Heinz Schmiel, é uma complexa simulação política tida como o primeiro grande Eurogame da história."
CLÁSSICOS MODERNOS,"Qual jogo levou o formato Legacy para a experiência cooperativa, alcançando o #1 no BGG?",Pandemic Legacy: Season 1,Gloomhaven,Charterstone,,A,"Pandemic Legacy: Season 1 mostrou como narrativa e mudanças permanentes elevam um cooperativo, chegando ao topo do BoardGameGeek."
CLÁSSICOS MODERNOS,Qual jogo de aves venceu o Kennerspiel des Jahres em 2019?,Wingspan,Terraforming Mars,Everdell,,A,Wingspan trouxe entusiastas de pássaros para o hobby e provou que temas científicos podem render jogos envolventes.
CLÁSSICOS MODERNOS,"Em que ano Catan foi lançado, dando início à era dos jogos modernos?",1985,1995,2005,,B,Catan (1995) abriu as portas do hobby para milhões de pessoas e é frequentemente citado como o marco dos Eurogames.
CLÁSSICOS MODERNOS,Qual jogo de Donald X. Vaccarino introduziu o mercado modular de cartas?,Dominion,Thunderstone,Ascension,,A,O mercado modular de Dominion garante enorme variabilidade e virou padrão em quase todos os jogos de deck-building.
CLÁSSICOS MODERNOS,"Qual jogo, derivado de Puerto Rico, popularizou a construção de tableau com cartas?",San Juan,Race for the Galaxy,Innovation,,A,San Juan transformou as ideias de Puerto Rico em um jogo de cartas enxuto e influente na construção de tableau.
CLÁSSICOS MODERNOS,"Quem projetou Puerto Rico, um dos Euros mais influentes de todos os tempos?",Andreas Seyfarth,Uwe Rosenberg,Stefan Feld,,A,"Andreas Seyfarth criou Puerto Rico (2002), cujo sistema de seleção de papéis inspirou inúmeros jogos posteriores."
CLÁSSICOS MODERNOS,Qual jogo cooperativo de R. Eric Reuss inverte o papel dos colonizadores?,Spirit Island,Robinson Crusoe,The Lord of the Rings,,A,"Em Spirit Island, você joga como espíritos da terra defendendo a ilha — uma resposta temática consciente aos jogos de colonização."
MUNDO DOS JOGOS,"Como é chamada a pecinha em formato de pessoa, símbolo dos jogos de tabuleiro?",Meeple,Token,Cubo,,A,O termo 'meeple' (de 'my' + 'people') surgiu jogando Carcassonne e virou o ícone universal do hobby.
MUNDO DOS JOGOS,"O que significa a sigla 'BGG', muito usada pela comunidade?",BoardGameGeek,Big Game Group,Best Games Guide,,A,O BoardGameGeek é o maior banco de dados e comunidade de jogos de tabuleiro do mundo.
MUNDO DOS JOGOS,O que é um 'Eurogame'?,Jogo de estratégia com pouca sorte e interação indireta,Jogo exclusivo da Europa,Jogo só com dinheiro de euro,,A,"Eurogames priorizam estratégia, pontuação e interação indireta, em geral evitando a eliminação de jogadores e a sorte excessiva."
MUNDO DOS JOGOS,O que caracteriza um jogo do tipo 'Ameritrash' (ou 'thematic')?,"Forte tema, conflito direto e dados",Ausência total de azar,Apenas jogos solitários,,A,"Os jogos temáticos valorizam imersão, conflito direto e reviravoltas dramáticas — o oposto da contenção dos Euros."
MUNDO DOS JOGOS,O que é um 'gateway game'?,Jogo de entrada para novos jogadores,Jogo só para especialistas,Jogo de azar,,A,Gateways como Ticket to Ride e Azul são fáceis de ensinar e servem de porta de entrada para o hobby.
MUNDO DOS JOGOS,O que significa 'roll-and-write'?,Rolar dados e anotar resultados em uma ficha,Construir baralhos,Negociar recursos,,A,"Em roll-and-write, como Qwixx e Welcome To, o coração do jogo é rolar (ou virar) e marcar resultados na sua folha."
MUNDO DOS JOGOS,O que faz um 'designer' de jogos de tabuleiro?,Cria as regras e os sistemas do jogo,Apenas ilustra as caixas,Só fabrica os componentes,,A,"O designer concebe regras e mecânicas; já a arte fica a cargo do ilustrador, e a produção, da editora."
DESIGNERS,"Quem é a editora responsável por Wingspan, Scythe e Viticulture?",Stonemaier Games,Days of Wonder,Fantasy Flight,,A,"A Stonemaier Games, de Jamey Stegmaier, ficou conhecida por componentes caprichados e por popularizar o financiamento coletivo."
DESIGNERS,"Quem projetou Spirit of the Wild... digo, o aclamado Lost Ruins of Arnak?",A dupla Mín e Elwen,Vital Lacerda,Reiner Knizia,,A,"A dupla tcheca Mín e Elwen uniu exploração, deck-building e colocação de trabalhadores em Lost Ruins of Arnak (2020)."
DESIGNERS,Reiner Knizia é conhecido por ter projetado quantos jogos ao longo da carreira?,Centenas,Apenas três,Cerca de dez,,A,"Reiner Knizia é um dos designers mais prolíficos da história, com centenas de títulos publicados, de Tigris & Euphrates a Ra."
DESIGNERS,"Quem projetou o moderno Cascadia, vencedor do Spiel des Jahres 2022?",Randy Flynn,Elizabeth Hargrave,Bruno Cathala,,A,Randy Flynn estreou com força: Cascadia uniu encaixe de hexágonos e fauna a uma elegância que conquistou o júri alemão.
DESIGNERS,Stefan Feld é conhecido por um estilo de Euro apelidado de quê?,'Salada de pontos' (point salad),Jogo de blefe,Party game,,A,"Os jogos de Stefan Feld, como Castles of Burgundy, oferecem tantos caminhos de pontuação que ganharam o apelido de 'salada de pontos'."
DESIGNERS,Qual jogo de Klaus-Jürgen Wrede consagrou o uso de meeples?,Carcassonne,Catan,Carrara,,A,"Foi em Carcassonne que o termo 'meeple' nasceu, batizando as pecinhas que reivindicam estradas, cidades e campos."
MECÂNICAS DE JOGO,"Em jogos de 'controle de área', a vitória costuma vir de quê?",Dominar regiões do tabuleiro,Esvaziar a própria mão,Adivinhar palavras,,A,"No controle de área (como em Scythe e Root), pontuar depende de ter mais presença que os adversários em cada região."
MECÂNICAS DE JOGO,"O que é 'set collection', presente em Ticket to Ride e Wingspan?",Juntar conjuntos de cartas ou itens,Eliminar jogadores,Rolar dados,,A,A coleta de conjuntos recompensa quem reúne combinações certas — um dos pilares mais antigos do design de jogos.
MECÂNICAS DE JOGO,Qual jogo é frequentemente citado como pioneiro do draft de dados?,To Court the King,Sagrada,Roll for the Galaxy,,A,"To Court the King (2006) foi pioneiro no draft de dados, ideia depois refinada por jogos como Sagrada."
DESIGNERS,"Quem assina A Feast for Odin, um gigante da colocação de trabalhadores?",Uwe Rosenberg,Stefan Feld,Reiner Knizia,,A,"A Feast for Odin, de Uwe Rosenberg, traz um imenso tabuleiro de ações com mais de 60 espaços para os jogadores explorarem."
DESIGNERS,"Quem projetou o premiado Sagrada, sobre vitrais e dados coloridos?",Daryl Andrews e Adrian Adamescu,Antoine Bauza,Bruno Cathala,,A,"Sagrada usa o draft de dados para que cada jogador monte um belo vitral, respeitando regras de cor e número."
DESIGNERS,"Quem é o autor de Patchwork, um duelo de retalhos para dois jogadores?",Uwe Rosenberg,Bruno Cathala,Marc André,,A,"Patchwork mostrou o lado leve de Uwe Rosenberg: um quebra-cabeça econômico para dois, com peças no estilo Tetris."
CLÁSSICOS MODERNOS,"Em que ano Carcassonne foi lançado, vencendo o Spiel des Jahres no ano seguinte?",2000,2008,1995,,A,Carcassonne (2000) venceu o Spiel des Jahres de 2001 e segue até hoje como um dos gateways mais queridos do hobby.
CLÁSSICOS MODERNOS,Qual jogo de exploração é conhecido por sua árvore tridimensional na mesa?,Everdell,Wingspan,Cascadia,,A,"A árvore central de Everdell é puro espetáculo, ajudando a contar a história de criaturas construindo sua cidade na floresta."
MUNDO DOS JOGOS,O que é um jogo 'cooperativo'?,Todos jogam juntos contra o jogo,Sempre há um vencedor único,Não existem regras,,A,"Em cooperativos como Pandemic, os jogadores vencem ou perdem juntos, enfrentando os desafios impostos pelo próprio jogo."
MUNDO DOS JOGOS,O que significa 'replayability' (rejogabilidade)?,O quanto um jogo continua interessante após muitas partidas,O preço do jogo,O número de peças,,A,"Mercados modulares, setups variáveis e facções assimétricas são truques de design para aumentar a rejogabilidade."
MUNDO DOS JOGOS,O que é a mecânica de 'deck-building'?,Construir e melhorar o próprio baralho durante o jogo,Comprar cartas em loja,Embaralhar antes de começar,,A,"No deck-building, criado por Dominion, você começa com cartas fracas e vai melhorando seu baralho ao longo da partida."
MUNDO DOS JOGOS,O que costuma diferenciar um jogo 'filler'?,"É curto e leve, para preencher intervalos",Dura mais de quatro horas,Exige um mestre de jogo,,A,Fillers como Sushi Go e No Thanks são rápidos e ótimos para abrir ou fechar uma noite de jogos.
DESIGNERS,Quem projetou o influente Power Grid (Funkenschlag)?,Friedemann Friese,Mac Gerdts,Alexander Pfister,,A,"Friedemann Friese, famoso por começar os nomes de seus jogos com 'F', criou o clássico econômico Power Grid."
DESIGNERS,Quem é conhecido pelos Euros pesados e temáticos como Vinhos e Lisboa?,Vital Lacerda,Uwe Rosenberg,Antoine Bauza,,A,"O português Vital Lacerda é referência em Euros densos e elegantes, com regras interligadas como engrenagens."
DESIGNERS,Bruno Cathala costuma ser destaque por jogos de qual perfil?,"Acessíveis e elegantes, como Kingdomino e 7 Wonders Duel",Apenas wargames pesados,Somente party games,,A,"Bruno Cathala, sozinho ou em parcerias, é mestre em jogos elegantes e acessíveis, de Kingdomino a 7 Wonders Duel."
PRÊMIOS,Qual jogo cooperativo de aviação venceu o Kennerspiel des Jahres de 2024?,Sky Team,The Crew,Cascadia,,A,"Sky Team, para exatamente dois jogadores, levou o Kennerspiel des Jahres de 2024 ao colocar a dupla para pousar aviões em silêncio coordenado."
PRÊMIOS,Qual destes jogos venceu o Spiel des Jahres de 2017?,Kingdomino,Azul,Codenames,,A,"Kingdomino provou que um jogo simples e rápido pode levar o maior prêmio do hobby, encaixando dominós em reinos."
CLÁSSICOS MODERNOS,Qual jogo de Jamey Stegmaier é ambientado numa Europa alternativa dos anos 1920 com mechs?,Scythe,Root,Brass,,A,"Scythe nasceu das pinturas de Jakub Rozalski, que imaginavam mechs gigantes em uma Europa rural retrofuturista."
CLÁSSICOS MODERNOS,Qual jogo é frequentemente apontado como um dos melhores Euros econômicos já feitos?,Brass: Birmingham,Monopoly,Jogo da Vida,,A,"Brass: Birmingham, de Martin Wallace, lidera há anos as listas dos melhores jogos do BoardGameGeek."
MUNDO DOS JOGOS,O que é um jogo de 'dedução social'?,Jogadores descobrem quem esconde um papel secreto,Um jogo só de matemática,Um jogo sem comunicação,,A,"Em jogos de dedução social, como os de impostor, a graça está em ler blefes e desconfiar dos colegas de mesa."
MUNDO DOS JOGOS,"O termo 'Ameritrash' se refere, com carinho, a jogos com qual característica?","Muito tema, miniaturas e conflito direto",Zero componentes,Apenas cartas numeradas,,A,"Apesar do nome provocativo, 'Ameritrash' é um elogio afetuoso a jogos imersivos, cheios de tema, dados e reviravoltas."
GROK GAMES,Qual destes títulos de festa está no catálogo da Grok Games?,Cores com Dicas,Gloomhaven,Terra Mystica,,A,"Cores com Dicas é um dos party games da Grok, feito para jogar rindo com a família e os amigos."
GROK GAMES,Qual jogo de empurrar a sorte com cartas numeradas faz parte do catálogo da Grok?,Flip 7,Gloomhaven,Concordia,,A,Flip 7 é um jogo rápido de empurre a sorte: vire cartas tentando juntar pontos sem repetir números e estourar.
GROK GAMES,"O luxuoso 'The Palaces of Carrara', no catálogo da Grok, é assinado por qual dupla?",Kramer e Kiesling,Mín e Elwen,Inka e Markus Brand,,A,"The Palaces of Carrara, da dupla premiada Kramer e Kiesling, é um Euro clássico de construção e economia de mármore."
